Action,ID,Glottocode,Reason
IGNORE,waris,wari1266,not transnewguinea
IGNORE,waris,wari1266,not transnewguinea
IGNORE,waritai,wari1264,not transnewguinea
IGNORE,waritai,wari1264,not transnewguinea
IGNORE,wipi-abam,abam1239,not transnewguinea
IGNORE,wipi-dorogori,doro1265,not transnewguinea
IGNORE,wipi-gamaewe,gama1253,not transnewguinea
IGNORE,wipi-guiam,guia1241,not transnewguinea
IGNORE,wipi-iamega,iame1239,not transnewguinea
IGNORE,wipi-kapal,kapa1255,not transnewguinea
IGNORE,wipi-kuru,kuru1307,not transnewguinea
IGNORE,wipi-peawa,peaw1239,not transnewguinea
IGNORE,wipi-podari,poda1239,not transnewguinea
IGNORE,wipi-ume,umee1243,not transnewguinea
IGNORE,wipi-wipim,wipi1243,not transnewguinea
IGNORE,wipi-wonie,woni1239,not transnewguinea
IGNORE,wipi-yuta,yuta1239,not transnewguinea
IGNORE,wipi-zim,wipi1242,not transnewguinea
IGNORE,wogamusin,woga1249,not transnewguinea
IGNORE,wogamusin,woga1249,not transnewguinea
IGNORE,wutung,wutu1244,not transnewguinea
IGNORE,yahadian,yaha1248,not transnewguinea
IGNORE,yahang,yaha1247,not transnewguinea
IGNORE,yangum-mon,yang1296,not transnewguinea
IGNORE,yau,yaus1235,not transnewguinea
IGNORE,yawa,nucl1454,not transnewguinea
IGNORE,yawiyo-wosawari,yawi1238,not transnewguinea
IGNORE,yei,yeii1239,not transnewguinea
IGNORE,yei,yeii1239,not transnewguinea
IGNORE,yelmek,yelm1242,not transnewguinea
IGNORE,yelmek,yelm1242,not transnewguinea
IGNORE,yessan-mayo,yess1239,not transnewguinea
IGNORE,yessan-mayo,yess1239,not transnewguinea
IGNORE,yessan-mayo-warasai,yess1239,not transnewguinea
IGNORE,yetfa,yetf1238,not transnewguinea
IGNORE,yetfa,yetf1238,not transnewguinea
IGNORE,yil,yill1241,not transnewguinea
IGNORE,yimas,yima1243,not transnewguinea
IGNORE,yimas,yima1243,not transnewguinea
IGNORE,yimas,yima1243,not transnewguinea
IGNORE,yis,yiss1240,not transnewguinea
IGNORE,aramo,pina1252,not transnewguinea (Piawi)
IGNORE,haruai,haru1245,not transnewguinea (Piawi)
IGNORE,nangenuwetan,pina1252,not transnewguinea (Piawi)
IGNORE,pinai-hagahai,pina1252,not transnewguinea (Piawi)
IGNORE,pinai-hagahai-wakadadap,not transnewguinea (Piawi)
IGNORE,wiyaw,haru1245,Piawi,not transnewguinea (Piawi)
