Language,Taxon,Glottocode,Family,Clade,Classification,Latitude,Longitude
asmat-central-keenok-sawa-erma,asmat-central-keenok-sawa-erma_v80,nort2917,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-4.89854,138.405
asmat-central-keenok-yipaer,asmat-central-keenok-yipaer_v80,nort2917,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-4.89854,138.405
asmat-central-mecamup-ac,asmat-central-mecamup-ac_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-mecamup-amanamkai,asmat-central-mecamup-amanamkai_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-mecamup-amisu,asmat-central-mecamup-amisu_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-mecamup-ar-nanim,asmat-central-mecamup-ar-nanim_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-mecamup-cowew-yamew,asmat-central-mecamup-cowew-yamew_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-mecamup-kawet,asmat-central-mecamup-kawet_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-mecamup-miwar,asmat-central-mecamup-miwar_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-mecamup-omanesep,asmat-central-mecamup-omanesep_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-mecamup-yow,asmat-central-mecamup-yow_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-mine,asmat-central-mine_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-mismam-per,asmat-central-mismam-per_v80,mism1239,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247/cent2117,,
asmat-central-mismam-suru,asmat-central-mismam-suru_v80,mism1239,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247/cent2117,,
asmat-central-mismam-uwus,asmat-central-mismam-uwus_v80,mism1239,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247/cent2117,,
asmat-central-mismam-yepem,asmat-central-mismam-yepem_v80,mism1239,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247/cent2117,,
asmat-central-misman-meriten,asmat-central-misman-meriten_v80,mism1239,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247/cent2117,,
asmat-central-simai-ayam,asmat-central-simai-ayam_v80,ajam1240,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247/cent2117,,
asmat-central-sokoni,asmat-central-sokoni_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-wooi,asmat-central-wooi_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-yinak,asmat-central-yinak_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-north,asmat-north_vdw74,nort2917,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-4.89854,138.405
asmat-north-irogo,asmat-north-irogo_v80,nort2917,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-4.89854,138.405
asmat-north-momogo,asmat-north-momogo_v80,nort2917,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-4.89854,138.405
asmat-north-pupis,asmat-north-pupis_v80,nort2917,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-4.89854,138.405
asmat-north-ti,asmat-north-ti_v80,nort2917,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-4.89854,138.405
asmat-north-weyo,asmat-north-weyo_v80,nort2917,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-4.89854,138.405
asmat-yaosakor,asmat-yaosakor_vdw74,yaos1235,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.61024,138.582
atemble,atemble_z80s,atem1241,Nuclear Trans New Guinea,TNG.Madang.Kalamic-SouthAdelbert,nucl1709/mada1298/kala1403/sout3148/soge1235/apal1258/grea1297/atan1241,-5.08137,144.806
atemble,atemble_d2010,atem1241,Nuclear Trans New Guinea,TNG.Madang.Kalamic-SouthAdelbert,nucl1709/mada1298/kala1403/sout3148/soge1235/apal1258/grea1297/atan1241,-5.08137,144.806
atohwaim,atohwaim_v71,atoh1238,Kayagaric,Kayagaric,kaya1327,-6.27123,138.666
atohwaim,atohwaim_v75,atoh1238,Kayagaric,Kayagaric,kaya1327,-6.27123,138.666
au,au_l68,auuu1241,Nuclear Torricelli,Nuclear Torricelli,nucl1708/wape1249/cent2407/wape1250/auol1234,-3.53277,142.105
awa,awa_x90,awap1236,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/kain1274/gauw1235/awao1234,-6.65534,145.714
awa,awa_s78,awap1236,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/kain1274/gauw1235/awao1234,-6.65534,145.714
awa,awa_sil-1976,awap1236,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/kain1274/gauw1235/awao1234,-6.65534,145.714
awar,awar_f2005,awar1249,Lower Sepik-Ramu,Lower Sepik-Ramu,lowe1437/ramu1234/lowe1439/wagg1235/bosn1247,-4.13554,144.836
