169 ('amaimon_zgraggen-1980-nadelbert', '1442_STAND') 2
170 ('amaimon_zgraggen-1980-nadelbert', '1489_CLOUD') 2
171 ('amaimon_zgraggen-1980-nadelbert', '2304_THEE_OBLIQUE_CASE_OF_YOU') 2
172 ('amaimon_zgraggen-1980-nadelbert', '2312_YOU_OBLIQUE_CASE_OF_YOU') 2
173 ('amaimon_zgraggen-1980-nadelbert', '2708_TALK') 3
174 ('amaimon_zgraggen-1980-nadelbert', '351_TARO') 2
175 ('amaimon_zgraggen-1980-nadelbert', '586_GARDEN') 2
176 ('amaimon_zgraggen-1980-nadelbert', '700_CARRY') 3
177 ('amaimon_zgraggen-1980-nadelbert', '725_OLD_PERSON') 4
178 ('amaimon_zgraggen-1980-nadelbert', '857_STONE') 2
179 ('amaimon_zgraggen-1980-nadelbert', '868_BANANA') 2
180 ('amaimon_zgraggen-1980-nadelbert', '908_DRUM') 2
181 ('amaimon_zgraggen-1980-nadelbert', '970_COCONUT') 3
182 ('ambai-wadapi-laut_voorhoeve-1975', '1409_SEE') 2
183 ('ambakich-agurant_potter-et-al-2008', '98_ALL') 3
184 ('ambakich-arango_potter-et-al-2008', '1493_ONE') 2
185 ('ambakich-ombos_potter-et-al-2008', '1395_ROUND') 2
186 ('ambakich-pangin_potter-et-al-2008', '98_ALL') 2
187 ('ambe-dofo_smallhorn-2011', '970_COCONUT') 2
188 ('ambulas_foley2005', '2304_THEE_OBLIQUE_CASE_OF_YOU') 2
189 ('amele_zgraggen-1980-mabuso', '1142_URINE') 2
190 ('amele_zgraggen-1980-mabuso', '1202_BIG') 2
191 ('amele_zgraggen-1980-mabuso', '1216_MOTHER') 3
192 ('amele_zgraggen-1980-mabuso', '1217_FATHER') 2
193 ('amele_zgraggen-1980-mabuso', '1220_TAIL') 4
194 ('amele_zgraggen-1980-mabuso', '1233_NIGHT') 2
195 ('amele_zgraggen-1980-mabuso', '1237_WHERE') 2
196 ('amele_zgraggen-1980-mabuso', '1252_HOUSE') 2
197 ('amele_zgraggen-1980-mabuso', '1268_YES') 2
198 ('amele_zgraggen-1980-mabuso', '1287_COLD') 2
199 ('amele_zgraggen-1980-mabuso', '1333_NECK') 2
200 ('amele_zgraggen-1980-mabuso', '1343_SUN') 2
201 ('amele_zgraggen-1980-mabuso', '1352_KNIFE') 3
202 ('amele_zgraggen-1980-mabuso', '1380_TOOTH') 2
203 ('amele_zgraggen-1980-mabuso', '1408_HEAR') 3
204 ('amele_zgraggen-1980-mabuso', '1429_FULL') 2
205 ('amele_zgraggen-1980-mabuso', '1442_STAND') 3
206 ('amele_zgraggen-1980-mabuso', '1482_SHOULDER') 2
207 ('amele_zgraggen-1980-mabuso', '1493_ONE') 2
208 ('amele_zgraggen-1980-mabuso', '1585_SLEEP') 2
209 ('amele_zgraggen-1980-mabuso', '165_WALLABY') 2
210 ('amele_zgraggen-1980-mabuso', '175_BLOW_OF_WIND') 2
211 ('amele_zgraggen-1980-mabuso', '1786_DRY_UP') 2
212 ('amele_zgraggen-1980-mabuso', '189_HAIR_BODY') 2
213 ('amele_zgraggen-1980-mabuso', '1927_BAMBOO') 3
214 ('amele_zgraggen-1980-mabuso', '1942_NEAR') 2
215 ('amele_zgraggen-1980-mabuso', '2092_HIS_OR_HER') 2
216 ('amele_zgraggen-1980-mabuso', '2304_THEE_OBLIQUE_CASE_OF_YOU') 2
217 ('amele_zgraggen-1980-mabuso', '2312_YOU_OBLIQUE_CASE_OF_YOU') 2
218 ('amele_zgraggen-1980-mabuso', '2708_TALK') 2
219 ('amele_zgraggen-1980-mabuso', '351_TARO') 2
220 ('amele_zgraggen-1980-mabuso', '420_FOREST') 2
221 ('amele_zgraggen-1980-mabuso', '700_CARRY') 2
222 ('amele_zgraggen-1980-mabuso', '725_OLD_PERSON') 2
223 ('amele_zgraggen-1980-mabuso', '763_SKIN') 2
224 ('amele_zgraggen-1980-mabuso', '834_BUTTOCKS') 2
225 ('amele_zgraggen-1980-mabuso', '857_STONE') 2
226 ('amele_zgraggen-1980-mabuso', '868_BANANA') 2
227 ('amele_zgraggen-1980-mabuso', '908_DRUM') 2
228 ('amele_zgraggen-1980-mabuso', '945_SPEAR') 3
229 ('amele_zgraggen-1980-mabuso', '970_COCONUT') 2
230 ('amele_zgraggen-1980-mabuso', '981_ELBOW') 2
231 ('amto_conrad-and-dye-1975', '1205_TONGUE') 2
232 ('amto_conrad-and-dye-1975', '1482_SHOULDER') 2
233 ('amto_conrad-and-dye-1975', '343_VINE') 2
234 ('amto_conrad-and-dye-1975', '778_SMOKE_EXHAUST') 2
235 ('anam_zgraggen-1980-sadelbert', '1202_BIG') 2
236 ('anam_zgraggen-1980-sadelbert', '1203_LONG') 2
237 ('anam_zgraggen-1980-sadelbert', '1209_I') 2
238 ('anam_zgraggen-1980-sadelbert', '1220_TAIL') 2
239 ('anam_zgraggen-1980-sadelbert', '1246_SMALL') 2
240 ('anam_zgraggen-1980-sadelbert', '1268_YES') 2
241 ('anam_zgraggen-1980-sadelbert', '1269_NO') 2
242 ('anam_zgraggen-1980-sadelbert', '1335_WHITE') 2
243 ('anam_zgraggen-1980-sadelbert', '1352_KNIFE') 2
244 ('anam_zgraggen-1980-sadelbert', '1403_BITE') 2
245 ('anam_zgraggen-1980-sadelbert', '1442_STAND') 2
246 ('anam_zgraggen-1980-sadelbert', '146_SUGAR_CANE') 2
247 ('anam_zgraggen-1980-sadelbert', '1554_MAN') 2
248 ('anam_zgraggen-1980-sadelbert', '1690_FENCE') 2
249 ('anam_zgraggen-1980-sadelbert', '2092_HIS_OR_HER') 2
250 ('anam_zgraggen-1980-sadelbert', '2304_THEE_OBLIQUE_CASE_OF_YOU') 2
251 ('anam_zgraggen-1980-sadelbert', '2312_YOU_OBLIQUE_CASE_OF_YOU') 2
252 ('anam_zgraggen-1980-sadelbert', '2708_TALK') 2
253 ('anam_zgraggen-1980-sadelbert', '351_TARO') 2
254 ('anam_zgraggen-1980-sadelbert', '466_CASSOWARY') 2
255 ('anam_zgraggen-1980-sadelbert', '700_CARRY') 2
256 ('anam_zgraggen-1980-sadelbert', '725_OLD_PERSON') 2
257 ('anam_zgraggen-1980-sadelbert', '834_BUTTOCKS') 2
258 ('anam_zgraggen-1980-sadelbert', '908_DRUM') 2
259 ('anam_zgraggen-1980-sadelbert', '945_SPEAR') 2
260 ('anam_zgraggen-1980-sadelbert', '970_COCONUT') 2
261 ('anamgura_zgraggen-1980-sadelbert', '1174_YESTERDAY') 2
262 ('anamgura_zgraggen-1980-sadelbert', '1202_BIG') 2
263 ('anamgura_zgraggen-1980-sadelbert', '1217_FATHER') 2
264 ('anamgura_zgraggen-1980-sadelbert', '1220_TAIL') 2
265 ('anamgura_zgraggen-1980-sadelbert', '1236_WHAT') 2
266 ('anamgura_zgraggen-1980-sadelbert', '1258_FINGERNAIL') 2
267 ('anamgura_zgraggen-1980-sadelbert', '1335_WHITE') 2
268 ('anamgura_zgraggen-1980-sadelbert', '1352_KNIFE') 2
269 ('anamgura_zgraggen-1980-sadelbert', '1419_FEAR_BE_AFRAID') 2
270 ('anamgura_zgraggen-1980-sadelbert', '1442_STAND') 2
271 ('anamgura_zgraggen-1980-sadelbert', '1446_COME') 2
272 ('anamgura_zgraggen-1980-sadelbert', '146_SUGAR_CANE') 2
273 ('anamgura_zgraggen-1980-sadelbert', '1554_MAN') 2
274 ('anamgura_zgraggen-1980-sadelbert', '165_WALLABY') 2
275 ('anamgura_zgraggen-1980-sadelbert', '2092_HIS_OR_HER') 2
276 ('anamgura_zgraggen-1980-sadelbert', '2304_THEE_OBLIQUE_CASE_OF_YOU') 2
277 ('anamgura_zgraggen-1980-sadelbert', '2312_YOU_OBLIQUE_CASE_OF_YOU') 2
278 ('anamgura_zgraggen-1980-sadelbert', '2708_TALK') 2
279 ('anamgura_zgraggen-1980-sadelbert', '351_TARO') 2
280 ('anamgura_zgraggen-1980-sadelbert', '639_MOUNTAIN') 2
281 ('anamgura_zgraggen-1980-sadelbert', '646_ASH') 2
282 ('anamgura_zgraggen-1980-sadelbert', '700_CARRY') 2
283 ('anamgura_zgraggen-1980-sadelbert', '725_OLD_PERSON') 2
284 ('anamgura_zgraggen-1980-sadelbert', '867_backofhand') 2
285 ('anamgura_zgraggen-1980-sadelbert', '908_DRUM') 2
286 ('anamgura_zgraggen-1980-sadelbert', '970_COCONUT') 2
287 ('angaataha_lloyd-1973', '1240_NOT') 2
288 ('angaataha_lloyd-1973', '744_EGG') 2
289 ('angal_franklin1975', '1394_BONE') 2
290 ('angoram-kambrindo_abbott1985', '1403_BITE') 3
291 ('angoram-kambrindo_abbott1985', '1405_NAME') 2
292 ('angoram-kambrindo_abbott1985', '1433_HIT') 2
293 ('angoram-kambrindo_abbott1985', '1585_SLEEP') 2
294 ('angoram-karau_abbott1985', '1585_SLEEP') 2
295 ('angoram-wagamut_abbott1985', '2108_RAINING_OR_RAIN') 2
296 ('angoram_foley1986', '1217_FATHER') 2
297 ('angoram_foley2005', '1202_BIG') 2
298 ('angoram_foley2005', '1205_TONGUE') 2
299 ('angoram_foley2005', '1221_NOSE') 2
300 ('angoram_foley2005', '1247_EAR') 2
301 ('angoram_foley2005', '1248_EYE') 2
302 ('angoram_foley2005', '1252_HOUSE') 2
303 ('angoram_foley2005', '1287_COLD') 2
304 ('angoram_foley2005', '1313_MOON') 2
305 ('angoram_foley2005', '1336_EAT') 2
306 ('angoram_foley2005', '1337_PIG') 2
307 ('angoram_foley2005', '1343_SUN') 2
308 ('angoram_foley2005', '1380_TOOTH') 2
309 ('angoram_foley2005', '1394_BONE') 2
310 ('angoram_foley2005', '1402_BREAST') 2
311 ('angoram_foley2005', '1408_HEAR') 2
312 ('angoram_foley2005', '1430_STAR') 2
313 ('angoram_foley2005', '1433_HIT') 2
314 ('angoram_foley2005', '1446_COME') 2
315 ('angoram_foley2005', '1493_ONE') 2
316 ('angoram_foley2005', '1498_TWO') 2
317 ('angoram_foley2005', '1509_MOSQUITO') 2
318 ('angoram_foley2005', '1857_CROCODILE') 2
319 ('angoram_foley2005', '189_HAIR_BODY') 2
320 ('angoram_foley2005', '2159_GROUND') 2
321 ('angoram_foley2005', '217_BETELNUT') 2
322 ('angoram_foley2005', '221_FIRE') 2
323 ('angoram_foley2005', '492_THREE') 2
324 ('angoram_foley2005', '628_LEAF') 2
325 ('angoram_foley2005', '675_FAECES_EXCREMENT') 2
326 ('angoram_foley2005', '695_GO') 2
327 ('angoram_foley2005', '730_SNAKE') 2
328 ('angoram_foley2005', '744_EGG') 2
329 ('angoram_foley2005', '930_VILLAGE') 2
330 ('angoram_foley2005', '946_BLOOD') 2
331 ('angoram_foley2005', '948_WATER') 2
332 ('angoram_foley2005', '962_WOMAN') 2
333 ('angoram_foley2005', '982_LIME_FRUIT') 2
334 ('anjam_zgraggen-1980-raicoast', '1216_MOTHER') 2
335 ('anjam_zgraggen-1980-raicoast', '1220_TAIL') 3
336 ('anjam_zgraggen-1980-raicoast', '1247_EAR') 2
337 ('anjam_zgraggen-1980-raicoast', '1352_KNIFE') 2
338 ('anjam_zgraggen-1980-raicoast', '1366_BOY') 2
339 ('anjam_zgraggen-1980-raicoast', '1371_KNEE') 2
340 ('anjam_zgraggen-1980-raicoast', '1409_SEE') 2
341 ('anjam_zgraggen-1980-raicoast', '1442_STAND') 2
342 ('anjam_zgraggen-1980-raicoast', '1447_GIVE') 2
343 ('anjam_zgraggen-1980-raicoast', '146_SUGAR_CANE') 2
