157 ('alekano-wanima_sil-1975e', '1209_I') 3
158 ('alekano-wanima_sil-1975e', '1215_THOU') 3
159 ('alekano-wanima_sil-1975e', '1236_WHAT') 2
160 ('alekano-wanima_sil-1975e', '1237_WHERE') 4
161 ('alekano-wanima_sil-1975e', '1240_NOT') 2
162 ('alekano-wanima_sil-1975e', '1269_NO') 2
163 ('alekano-wanima_sil-1975e', '1295_STICK') 3
164 ('alekano-wanima_sil-1975e', '1329_TOMORROW') 2
165 ('alekano-wanima_sil-1975e', '1335_WHITE') 3
166 ('alekano-wanima_sil-1975e', '1394_BONE') 2
167 ('alekano-wanima_sil-1975e', '1395_ROUND') 2
168 ('alekano-wanima_sil-1975e', '1482_SHOULDER') 2
169 ('alekano-wanima_sil-1975e', '2255_hesheitthatthose') 3
170 ('alekano-wanima_sil-1975e', '2312_YOU_OBLIQUE_CASE_OF_YOU') 3
171 ('alekano-wanima_sil-1975e', '2636_WE_TWO_EXCLUSIVE') 3
172 ('alekano-wanima_sil-1975e', '725_OLD_PERSON') 2
173 ('alekano-wanima_sil-1975e', '817_THEY') 3
174 ('alekano-wanima_sil-1975e', '960_WIND') 2
175 ('alekano-wanima_sil-1975e', '98_ALL') 2
176 ('alekano_salisbury-1956', '323_FAT_ORGANIC_SUBSTANCE') 2
177 ('alekano_scott1978', '1257_WING') 2
178 ('alekano_scott1978', '1269_NO') 2
179 ('alekano_scott1978', '1289_BABY') 2
180 ('alekano_scott1978', '1335_WHITE') 3
181 ('alekano_scott1978', '1394_BONE') 2
182 ('alekano_scott1978', '1395_ROUND') 2
183 ('alekano_scott1978', '1403_BITE') 2
184 ('alekano_scott1978', '1482_SHOULDER') 2
185 ('alekano_scott1978', '1493_ONE') 2
186 ('alekano_scott1978', '1781_THUMB') 2
187 ('alekano_scott1978', '2193_meatgame') 2
188 ('alekano_scott1978', '2255_hesheitthatthose') 2
189 ('alekano_scott1978', '2510_tofallfromstanding') 2
190 ('alekano_scott1978', '725_OLD_PERSON') 2
191 ('alekano_scott1978', '960_WIND') 2
192 ('alekano_sil-1965d', '1240_NOT') 2
193 ('alekano_sil-1965d', '1408_HEAR') 2
194 ('alekano_sil-1965d', '1410_KNOW_SOMETHING') 2
195 ('alekano_sil-1965d', '2502_thatdistant') 2
196 ('alfendio_davies_and_comrie1985', '1287_COLD') 2
197 ('alfendio_davies_and_comrie1985', '1394_BONE') 2
198 ('alfendio_davies_and_comrie1985', '2636_WE_TWO_EXCLUSIVE') 2
199 ('alor-baranusa-kabir_stokhof-1975', '2457_PATH_OR_ROAD') 2
200 ('alor-baranusa-kabir_stokhof-1975', '323_FAT_ORGANIC_SUBSTANCE') 2
201 ('alor-baranusa-kabir_stokhof-1975', '622_ISLAND') 2
202 ('alor-kalabahi_stokhof-1975', '1394_BONE') 2
203 ('ama_conrad-and-dye-1975', '1221_NOSE') 2
204 ('ama_conrad-and-dye-1975', '962_WOMAN') 2
205 ('ama_sil-1974b', '1352_KNIFE') 2
206 ('ama_sil-1974b', '960_WIND') 2
207 ('amaimon_zgraggen-1980-nadelbert', '1216_MOTHER') 2
208 ('amaimon_zgraggen-1980-nadelbert', '1220_TAIL') 2
209 ('amaimon_zgraggen-1980-nadelbert', '1221_NOSE') 2
210 ('amaimon_zgraggen-1980-nadelbert', '1242_FEW') 2
211 ('amaimon_zgraggen-1980-nadelbert', '1352_KNIFE') 2
212 ('amaimon_zgraggen-1980-nadelbert', '1376_NOW') 2
213 ('amaimon_zgraggen-1980-nadelbert', '1425_GREEN') 2
214 ('amaimon_zgraggen-1980-nadelbert', '1437_SPLIT') 2
215 ('amaimon_zgraggen-1980-nadelbert', '1442_STAND') 2
216 ('amaimon_zgraggen-1980-nadelbert', '1486_PLANT_SOMETHING') 2
217 ('amaimon_zgraggen-1980-nadelbert', '1487_POUR') 2
218 ('amaimon_zgraggen-1980-nadelbert', '1489_CLOUD') 2
219 ('amaimon_zgraggen-1980-nadelbert', '1654_LIGHTNING') 2
220 ('amaimon_zgraggen-1980-nadelbert', '1719_BURY') 2
221 ('amaimon_zgraggen-1980-nadelbert', '2006_FILL') 2
222 ('amaimon_zgraggen-1980-nadelbert', '2026_treepossum') 2
223 ('amaimon_zgraggen-1980-nadelbert', '2095_arrowbarredarrowwithcrossbar') 2
224 ('amaimon_zgraggen-1980-nadelbert', '2304_THEE_OBLIQUE_CASE_OF_YOU') 2
225 ('amaimon_zgraggen-1980-nadelbert', '2312_YOU_OBLIQUE_CASE_OF_YOU') 2
226 ('amaimon_zgraggen-1980-nadelbert', '2509_yamtaitu') 2
227 ('amaimon_zgraggen-1980-nadelbert', '2708_TALK') 3
228 ('amaimon_zgraggen-1980-nadelbert', '351_TARO') 2
229 ('amaimon_zgraggen-1980-nadelbert', '586_GARDEN') 2
230 ('amaimon_zgraggen-1980-nadelbert', '700_CARRY') 3
231 ('amaimon_zgraggen-1980-nadelbert', '725_OLD_PERSON') 4
232 ('amaimon_zgraggen-1980-nadelbert', '792_BOIL_OF_LIQUID') 2
233 ('amaimon_zgraggen-1980-nadelbert', '857_STONE') 2
234 ('amaimon_zgraggen-1980-nadelbert', '868_BANANA') 2
235 ('amaimon_zgraggen-1980-nadelbert', '908_DRUM') 2
236 ('amaimon_zgraggen-1980-nadelbert', '970_COCONUT') 3
237 ('ambai-wadapi-laut_voorhoeve-1975', '1409_SEE') 2
238 ('ambakich-agurant_potter-et-al-2008', '98_ALL') 3
239 ('ambakich-arango_potter-et-al-2008', '1493_ONE') 2
240 ('ambakich-ombos_potter-et-al-2008', '1395_ROUND') 2
241 ('ambakich-pangin_potter-et-al-2008', '98_ALL') 2
242 ('ambe-dofo_smallhorn-2011', '970_COCONUT') 2
243 ('ambulas_foley2005', '2255_hesheitthatthose') 2
244 ('ambulas_foley2005', '2304_THEE_OBLIQUE_CASE_OF_YOU') 2
245 ('amele_zgraggen-1980-mabuso', '1094_FASTEN') 2
246 ('amele_zgraggen-1980-mabuso', '1142_URINE') 2
247 ('amele_zgraggen-1980-mabuso', '1180_DAY_BEFORE_YESTERDAY') 2
248 ('amele_zgraggen-1980-mabuso', '1202_BIG') 2
249 ('amele_zgraggen-1980-mabuso', '1216_MOTHER') 3
250 ('amele_zgraggen-1980-mabuso', '1217_FATHER') 2
251 ('amele_zgraggen-1980-mabuso', '1220_TAIL') 4
252 ('amele_zgraggen-1980-mabuso', '1222_PENIS') 2
253 ('amele_zgraggen-1980-mabuso', '1233_NIGHT') 2
254 ('amele_zgraggen-1980-mabuso', '1237_WHERE') 2
255 ('amele_zgraggen-1980-mabuso', '1252_HOUSE') 2
256 ('amele_zgraggen-1980-mabuso', '1268_YES') 2
257 ('amele_zgraggen-1980-mabuso', '1287_COLD') 2
258 ('amele_zgraggen-1980-mabuso', '1333_NECK') 2
259 ('amele_zgraggen-1980-mabuso', '1334_GUTS') 2
260 ('amele_zgraggen-1980-mabuso', '1343_SUN') 2
261 ('amele_zgraggen-1980-mabuso', '1352_KNIFE') 3
262 ('amele_zgraggen-1980-mabuso', '136_HERE') 2
263 ('amele_zgraggen-1980-mabuso', '1380_TOOTH') 2
264 ('amele_zgraggen-1980-mabuso', '1408_HEAR') 3
265 ('amele_zgraggen-1980-mabuso', '1429_FULL') 2
266 ('amele_zgraggen-1980-mabuso', '1442_STAND') 3
267 ('amele_zgraggen-1980-mabuso', '1475_COMB') 2
268 ('amele_zgraggen-1980-mabuso', '1482_SHOULDER') 2
269 ('amele_zgraggen-1980-mabuso', '1493_ONE') 2
270 ('amele_zgraggen-1980-mabuso', '1566_blackcreature') 2
271 ('amele_zgraggen-1980-mabuso', '1585_SLEEP') 2
272 ('amele_zgraggen-1980-mabuso', '165_WALLABY') 2
273 ('amele_zgraggen-1980-mabuso', '175_BLOW_OF_WIND') 2
274 ('amele_zgraggen-1980-mabuso', '1786_DRY_UP') 2
275 ('amele_zgraggen-1980-mabuso', '189_HAIR_BODY') 2
276 ('amele_zgraggen-1980-mabuso', '1927_BAMBOO') 3
277 ('amele_zgraggen-1980-mabuso', '1942_NEAR') 2
278 ('amele_zgraggen-1980-mabuso', '1980_treetop') 2
279 ('amele_zgraggen-1980-mabuso', '2086_thempronouno3pdual') 2
280 ('amele_zgraggen-1980-mabuso', '2089_ourtwopronounp1pdual') 2
281 ('amele_zgraggen-1980-mabuso', '2090_theirpronounp3pdual') 2
282 ('amele_zgraggen-1980-mabuso', '2092_HIS_OR_HER') 2
283 ('amele_zgraggen-1980-mabuso', '2092_chickenwild') 2
284 ('amele_zgraggen-1980-mabuso', '2193_meatgame') 2
285 ('amele_zgraggen-1980-mabuso', '2255_hesheitthatthose') 3
286 ('amele_zgraggen-1980-mabuso', '2304_THEE_OBLIQUE_CASE_OF_YOU') 2
287 ('amele_zgraggen-1980-mabuso', '2312_YOU_OBLIQUE_CASE_OF_YOU') 2
288 ('amele_zgraggen-1980-mabuso', '2507_therelohap') 2
289 ('amele_zgraggen-1980-mabuso', '2509_yamtaitu') 2
290 ('amele_zgraggen-1980-mabuso', '2708_TALK') 2
291 ('amele_zgraggen-1980-mabuso', '3037_SAME-SEX_OLDER_SIBLING') 2
292 ('amele_zgraggen-1980-mabuso', '3039_DIFFERENT-SEX_OLDER_SIBLING') 2
293 ('amele_zgraggen-1980-mabuso', '351_TARO') 2
294 ('amele_zgraggen-1980-mabuso', '420_FOREST') 2
295 ('amele_zgraggen-1980-mabuso', '700_CARRY') 2
296 ('amele_zgraggen-1980-mabuso', '725_OLD_PERSON') 2
297 ('amele_zgraggen-1980-mabuso', '732_YOUR_SINGULAR') 2
298 ('amele_zgraggen-1980-mabuso', '763_SKIN') 2
299 ('amele_zgraggen-1980-mabuso', '800_THIGH') 2
300 ('amele_zgraggen-1980-mabuso', '834_BUTTOCKS') 2
301 ('amele_zgraggen-1980-mabuso', '841_FISHING_SPEAR') 2
302 ('amele_zgraggen-1980-mabuso', '857_STONE') 2
303 ('amele_zgraggen-1980-mabuso', '868_BANANA') 2
304 ('amele_zgraggen-1980-mabuso', '908_DRUM') 2
305 ('amele_zgraggen-1980-mabuso', '945_SPEAR') 3
306 ('amele_zgraggen-1980-mabuso', '970_COCONUT') 2
307 ('amele_zgraggen-1980-mabuso', '981_ELBOW') 2
308 ('amele_zgraggen-1980-mabuso', '984_WORK_LABOUR') 2
309 ('amowe-tagoe_lambrecht-et-al-2008', '2087_axeiron') 2
310 ('amto_conrad-and-dye-1975', '1205_TONGUE') 2
311 ('amto_conrad-and-dye-1975', '1301_FOOT') 2
312 ('amto_conrad-and-dye-1975', '1482_SHOULDER') 2
313 ('amto_conrad-and-dye-1975', '2509_yamtaitu') 2
314 ('amto_conrad-and-dye-1975', '343_VINE') 2
315 ('amto_conrad-and-dye-1975', '778_SMOKE_EXHAUST') 2
316 ('anam_zgraggen-1980-sadelbert', '1202_BIG') 2
317 ('anam_zgraggen-1980-sadelbert', '1203_LONG') 2
318 ('anam_zgraggen-1980-sadelbert', '1209_I') 2
319 ('anam_zgraggen-1980-sadelbert', '1220_TAIL') 2
320 ('anam_zgraggen-1980-sadelbert', '1242_FEW') 2
321 ('anam_zgraggen-1980-sadelbert', '1246_SMALL') 2
322 ('anam_zgraggen-1980-sadelbert', '1268_YES') 2
323 ('anam_zgraggen-1980-sadelbert', '1269_NO') 2
324 ('anam_zgraggen-1980-sadelbert', '1335_WHITE') 2
325 ('anam_zgraggen-1980-sadelbert', '1352_KNIFE') 2
326 ('anam_zgraggen-1980-sadelbert', '1403_BITE') 2
327 ('anam_zgraggen-1980-sadelbert', '1442_STAND') 2
328 ('anam_zgraggen-1980-sadelbert', '146_SUGAR_CANE') 2
329 ('anam_zgraggen-1980-sadelbert', '1554_MAN') 2
330 ('anam_zgraggen-1980-sadelbert', '155_CHOP') 2
331 ('anam_zgraggen-1980-sadelbert', '1690_FENCE') 2
332 ('anam_zgraggen-1980-sadelbert', '1749_TAKE') 2
333 ('anam_zgraggen-1980-sadelbert', '1837_VULVA') 2
334 ('anam_zgraggen-1980-sadelbert', '2089_ourtwopronounp1pdual') 2
335 ('anam_zgraggen-1980-sadelbert', '2090_MY') 2
336 ('anam_zgraggen-1980-sadelbert', '2092_HIS_OR_HER') 2
337 ('anam_zgraggen-1980-sadelbert', '2092_chickenwild') 2
338 ('anam_zgraggen-1980-sadelbert', '2093_AFTERWARDS') 2
339 ('anam_zgraggen-1980-sadelbert', '2095_arrowbarredarrowwithcrossbar') 3
340 ('anam_zgraggen-1980-sadelbert', '2274_YOUR_PLURAL') 2
341 ('anam_zgraggen-1980-sadelbert', '2304_THEE_OBLIQUE_CASE_OF_YOU') 2
342 ('anam_zgraggen-1980-sadelbert', '2312_YOU_OBLIQUE_CASE_OF_YOU') 2
343 ('anam_zgraggen-1980-sadelbert', '241_TREE_STUMP') 2
344 ('anam_zgraggen-1980-sadelbert', '2499_childm') 2
345 ('anam_zgraggen-1980-sadelbert', '2507_therelohap') 2
346 ('anam_zgraggen-1980-sadelbert', '2509_yamtaitu') 2
347 ('anam_zgraggen-1980-sadelbert', '2708_TALK') 2
348 ('anam_zgraggen-1980-sadelbert', '351_TARO') 2
349 ('anam_zgraggen-1980-sadelbert', '466_CASSOWARY') 2
350 ('anam_zgraggen-1980-sadelbert', '480_PLATE') 2
351 ('anam_zgraggen-1980-sadelbert', '680_BREAK_DESTROY_OR_GET_DESTROYED') 2
352 ('anam_zgraggen-1980-sadelbert', '700_CARRY') 2
353 ('anam_zgraggen-1980-sadelbert', '725_OLD_PERSON') 2
354 ('anam_zgraggen-1980-sadelbert', '732_YOUR_SINGULAR') 2
355 ('anam_zgraggen-1980-sadelbert', '805_tocallout') 2
356 ('anam_zgraggen-1980-sadelbert', '834_BUTTOCKS') 2
357 ('anam_zgraggen-1980-sadelbert', '843_tobuysellbarter') 2
358 ('anam_zgraggen-1980-sadelbert', '908_DRUM') 2
359 ('anam_zgraggen-1980-sadelbert', '945_SPEAR') 2
360 ('anam_zgraggen-1980-sadelbert', '970_COCONUT') 2
361 ('anamgura_zgraggen-1980-sadelbert', '1086_WORK_ACTIVITY') 2
362 ('anamgura_zgraggen-1980-sadelbert', '1174_YESTERDAY') 2
363 ('anamgura_zgraggen-1980-sadelbert', '1202_BIG') 2
364 ('anamgura_zgraggen-1980-sadelbert', '1217_FATHER') 2
365 ('anamgura_zgraggen-1980-sadelbert', '1220_TAIL') 2
366 ('anamgura_zgraggen-1980-sadelbert', '1236_WHAT') 2
367 ('anamgura_zgraggen-1980-sadelbert', '1258_FINGERNAIL') 2
368 ('anamgura_zgraggen-1980-sadelbert', '1335_WHITE') 2
369 ('anamgura_zgraggen-1980-sadelbert', '1352_KNIFE') 2
370 ('anamgura_zgraggen-1980-sadelbert', '1419_FEAR_BE_AFRAID') 2
371 ('anamgura_zgraggen-1980-sadelbert', '1442_STAND') 2
372 ('anamgura_zgraggen-1980-sadelbert', '1446_COME') 2
373 ('anamgura_zgraggen-1980-sadelbert', '146_SUGAR_CANE') 2
374 ('anamgura_zgraggen-1980-sadelbert', '1554_MAN') 2
375 ('anamgura_zgraggen-1980-sadelbert', '1566_blackcreature') 2
